descendant_id,ancestor_id,relation,descendant_project_id,ancestor_project_id,descendant_author,ancestor_author,descendant_created_month,ancestor_created_month,lag_months
hugging-quants/Llama-3.2-1B-Instruct-Q8_0-GGUF,meta-llama/Llama-3.2-1B-Instruct,quantized,hf_model_hugging-quants__Llama-3.2-1B-Instruct-Q8_0-GGUF,hf_model_meta-llama__Llama-3.2-1B-Instruct,hugging-quants,meta-llama,202409,202409,0
ai-forever/kandinsky-videomae-large-camera-motion,MCG-NJU/videomae-large,finetune,hf_model_ai-forever__kandinsky-videomae-large-camera-motion,hf_model_MCG-NJU__videomae-large,ai-forever,MCG-NJU,202507,202208,35
K-Compression/HyperCLOVAX-SEED-Think-14B-GPTQ,naver-hyperclovax/HyperCLOVAX-SEED-Think-14B,quantized,hf_model_K-Compression__HyperCLOVAX-SEED-Think-14B-GPTQ,hf_model_naver-hyperclovax__HyperCLOVAX-SEED-Think-14B,K-Compression,naver-hyperclovax,202508,202507,1
QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,Qwen/Qwen3-VL-30B-A3B-Instruct,quantized,hf_model_QuantTrio__Qwen3-VL-30B-A3B-Instruct-AWQ,hf_model_Qwen__Qwen3-VL-30B-A3B-Instruct,QuantTrio,Qwen,202510,202509,1
Qwen/Qwen3-14B-AWQ,Qwen/Qwen3-14B,quantized,hf_model_Qwen__Qwen3-14B-AWQ,hf_model_Qwen__Qwen3-14B,Qwen,Qwen,202505,202504,1
Qwen/Qwen2.5-7B-Instruct-AWQ,Qwen/Qwen2.5-7B-Instruct,quantized,hf_model_Qwen__Qwen2.5-7B-Instruct-AWQ,hf_model_Qwen__Qwen2.5-7B-Instruct,Qwen,Qwen,202409,202409,0
ggml-org/SmolVLM-500M-Instruct-GGUF,HuggingFaceTB/SmolVLM-500M-Instruct,quantized,hf_model_ggml-org__SmolVLM-500M-Instruct-GGUF,hf_model_HuggingFaceTB__SmolVLM-500M-Instruct,ggml-org,HuggingFaceTB,202504,202501,3
Qwen/Qwen3-Reranker-4B,Qwen/Qwen3-4B-Base,finetune,hf_model_Qwen__Qwen3-Reranker-4B,hf_model_Qwen__Qwen3-4B-Base,Qwen,Qwen,202506,202504,2
AdamCodd/vit-base-nsfw-detector,google/vit-base-patch16-384,quantized,hf_model_AdamCodd__vit-base-nsfw-detector,hf_model_google__vit-base-patch16-384,AdamCodd,google,202401,202203,22
Yehor/w2v-xls-r-uk,facebook/wav2vec2-xls-r-300m,finetune,hf_model_Yehor__w2v-xls-r-uk,hf_model_facebook__wav2vec2-xls-r-300m,Yehor,facebook,202206,202203,3
facebook/dinov3-vitl16-pretrain-lvd1689m,facebook/dinov3-vit7b16-pretrain-lvd1689m,finetune,hf_model_facebook__dinov3-vitl16-pretrain-lvd1689m,hf_model_facebook__dinov3-vit7b16-pretrain-lvd1689m,facebook,facebook,202508,202508,0
buildborderless/CommunityForensics-DeepfakeDet-ViT,timm/vit_small_patch16_384.augreg_in21k_ft_in1k,finetune,hf_model_buildborderless__CommunityForensics-DeepfakeDet-ViT,hf_model_timm__vit_small_patch16_384.augreg_in21k_ft_in1k,buildborderless,timm,202502,202212,26
Qwen/Qwen2.5-1.5B-Instruct-AWQ,Qwen/Qwen2.5-1.5B-Instruct,quantized,hf_model_Qwen__Qwen2.5-1.5B-Instruct-AWQ,hf_model_Qwen__Qwen2.5-1.5B-Instruct,Qwen,Qwen,202409,202409,0
Xenova/segformer-b0-finetuned-ade-512-512,nvidia/segformer-b0-finetuned-ade-512-512,quantized,hf_model_Xenova__segformer-b0-finetuned-ade-512-512,hf_model_nvidia__segformer-b0-finetuned-ade-512-512,Xenova,nvidia,202312,202203,21
freds0/distil-whisper-large-v3-ptbr,distil-whisper/distil-large-v3,finetune,hf_model_freds0__distil-whisper-large-v3-ptbr,hf_model_distil-whisper__distil-large-v3,freds0,distil-whisper,202409,202403,6
deepset/roberta-base-squad2,FacebookAI/roberta-base,finetune,hf_model_deepset__roberta-base-squad2,hf_model_FacebookAI__roberta-base,deepset,FacebookAI,202203,202203,0
Qwen/Qwen3-32B-AWQ,Qwen/Qwen3-32B,quantized,hf_model_Qwen__Qwen3-32B-AWQ,hf_model_Qwen__Qwen3-32B,Qwen,Qwen,202505,202504,1
nvidia/DeepSeek-R1-0528-NVFP4-v2,deepseek-ai/DeepSeek-R1-0528,finetune,hf_model_nvidia__DeepSeek-R1-0528-NVFP4-v2,hf_model_deepseek-ai__DeepSeek-R1-0528,nvidia,deepseek-ai,202507,202505,2
Qwen/Qwen3-4B-Instruct-2507-FP8,Qwen/Qwen3-4B-Instruct-2507,quantized,hf_model_Qwen__Qwen3-4B-Instruct-2507-FP8,hf_model_Qwen__Qwen3-4B-Instruct-2507,Qwen,Qwen,202508,202508,0
kingabzpro/wav2vec2-large-xls-r-300m-Urdu,facebook/wav2vec2-xls-r-300m,finetune,hf_model_kingabzpro__wav2vec2-large-xls-r-300m-Urdu,hf_model_facebook__wav2vec2-xls-r-300m,kingabzpro,facebook,202203,202203,0
Qwen/Qwen3-4B-AWQ,Qwen/Qwen3-4B,quantized,hf_model_Qwen__Qwen3-4B-AWQ,hf_model_Qwen__Qwen3-4B,Qwen,Qwen,202505,202504,1
amunchet/rorshark-vit-base,google/vit-base-patch16-224-in21k,finetune,hf_model_amunchet__rorshark-vit-base,hf_model_google__vit-base-patch16-224-in21k,amunchet,google,202311,202203,20
dima806/facial_emotions_image_detection,google/vit-base-patch16-224-in21k,finetune,hf_model_dima806__facial_emotions_image_detection,hf_model_google__vit-base-patch16-224-in21k,dima806,google,202310,202203,19
mlx-community/parakeet-tdt-0.6b-v2,nvidia/parakeet-tdt-0.6b-v2,finetune,hf_model_mlx-community__parakeet-tdt-0.6b-v2,hf_model_nvidia__parakeet-tdt-0.6b-v2,mlx-community,nvidia,202505,202504,1
IAMJB/RadEvalModernBERT,answerdotai/ModernBERT-base,finetune,hf_model_IAMJB__RadEvalModernBERT,hf_model_answerdotai__ModernBERT-base,IAMJB,answerdotai,202507,202412,7
Qwen/Qwen2-0.5B-Instruct,Qwen/Qwen2-0.5B,finetune,hf_model_Qwen__Qwen2-0.5B-Instruct,hf_model_Qwen__Qwen2-0.5B,Qwen,Qwen,202406,202405,1
mlx-community/gpt-oss-20b-MXFP4-Q8,openai/gpt-oss-20b,quantized,hf_model_mlx-community__gpt-oss-20b-MXFP4-Q8,hf_model_openai__gpt-oss-20b,mlx-community,openai,202508,202508,0
Qwen/Qwen2.5-72B-Instruct,Qwen/Qwen2.5-72B,finetune,hf_model_Qwen__Qwen2.5-72B-Instruct,hf_model_Qwen__Qwen2.5-72B,Qwen,Qwen,202409,202409,0
cross-encoder/ms-marco-TinyBERT-L2-v2,nreimers/BERT-Tiny_L-2_H-128_A-2,quantized,hf_model_cross-encoder__ms-marco-TinyBERT-L2-v2,hf_model_nreimers__BERT-Tiny_L-2_H-128_A-2,cross-encoder,nreimers,202203,202203,0
Qwen/Qwen2.5-Coder-14B-Instruct-AWQ,Qwen/Qwen2.5-Coder-14B-Instruct,quantized,hf_model_Qwen__Qwen2.5-Coder-14B-Instruct-AWQ,hf_model_Qwen__Qwen2.5-Coder-14B-Instruct,Qwen,Qwen,202411,202411,0
Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,Qwen/Qwen2.5-Coder-32B-Instruct,quantized,hf_model_Qwen__Qwen2.5-Coder-32B-Instruct-AWQ,hf_model_Qwen__Qwen2.5-Coder-32B-Instruct,Qwen,Qwen,202411,202411,0
ai-forever/FRIDA,ai-forever/FRED-T5-1.7B,finetune,hf_model_ai-forever__FRIDA,hf_model_ai-forever__FRED-T5-1.7B,ai-forever,ai-forever,202412,202301,23
cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,nreimers/mMiniLMv2-L12-H384-distilled-from-XLMR-Large,quantized,hf_model_cross-encoder__mmarco-mMiniLMv2-L12-H384-v1,hf_model_nreimers__mMiniLMv2-L12-H384-distilled-from-XLMR-Large,cross-encoder,nreimers,202206,202203,3
mistralai/Mistral-Small-3.1-24B-Instruct-2503,mistralai/Mistral-Small-3.1-24B-Base-2503,finetune,hf_model_mistralai__Mistral-Small-3.1-24B-Instruct-2503,hf_model_mistralai__Mistral-Small-3.1-24B-Base-2503,mistralai,mistralai,202503,202503,0
Qwen/Qwen2.5-32B-Instruct-GPTQ-Int4,Qwen/Qwen2.5-32B-Instruct,quantized,hf_model_Qwen__Qwen2.5-32B-Instruct-GPTQ-Int4,hf_model_Qwen__Qwen2.5-32B-Instruct,Qwen,Qwen,202409,202409,0
Qwen/Qwen2.5-Coder-1.5B-Instruct,Qwen/Qwen2.5-Coder-1.5B,finetune,hf_model_Qwen__Qwen2.5-Coder-1.5B-Instruct,hf_model_Qwen__Qwen2.5-Coder-1.5B,Qwen,Qwen,202409,202409,0
mistralai/Mixtral-8x7B-Instruct-v0.1,mistralai/Mixtral-8x7B-v0.1,finetune,hf_model_mistralai__Mixtral-8x7B-Instruct-v0.1,hf_model_mistralai__Mixtral-8x7B-v0.1,mistralai,mistralai,202312,202312,0
abhinand/MedEmbed-base-v0.1,BAAI/bge-base-en-v1.5,finetune,hf_model_abhinand__MedEmbed-base-v0.1,hf_model_BAAI__bge-base-en-v1.5,abhinand,BAAI,202410,202309,13
nvidia/Llama-3.1-8B-Instruct-FP8,meta-llama/Llama-3.1-8B-Instruct,finetune,hf_model_nvidia__Llama-3.1-8B-Instruct-FP8,hf_model_meta-llama__Llama-3.1-8B-Instruct,nvidia,meta-llama,202408,202407,1
bartowski/Llama-3.2-3B-Instruct-GGUF,meta-llama/Llama-3.2-3B-Instruct,quantized,hf_model_bartowski__Llama-3.2-3B-Instruct-GGUF,hf_model_meta-llama__Llama-3.2-3B-Instruct,bartowski,meta-llama,202409,202409,0
allenai/Olmo-3-7B-Instruct,allenai/Olmo-3-7B-Instruct-DPO,finetune,hf_model_allenai__Olmo-3-7B-Instruct,hf_model_allenai__Olmo-3-7B-Instruct-DPO,allenai,allenai,202511,202511,0
MoritzLaurer/deberta-v3-large-zeroshot-v2.0,microsoft/deberta-v3-large,quantized,hf_model_MoritzLaurer__deberta-v3-large-zeroshot-v2.0,hf_model_microsoft__deberta-v3-large,MoritzLaurer,microsoft,202404,202203,25
allenai/Molmo2-8B,Qwen/Qwen3-8B,finetune,hf_model_allenai__Molmo2-8B,hf_model_Qwen__Qwen3-8B,allenai,Qwen,202512,202504,8
OpenGVLab/InternVL2-1B,OpenGVLab/InternViT-300M-448px,merge,hf_model_OpenGVLab__InternVL2-1B,hf_model_OpenGVLab__InternViT-300M-448px,OpenGVLab,OpenGVLab,202407,202405,2
OpenGVLab/InternVL2-1B,Qwen/Qwen2-0.5B-Instruct,merge,hf_model_OpenGVLab__InternVL2-1B,hf_model_Qwen__Qwen2-0.5B-Instruct,OpenGVLab,Qwen,202407,202406,1
kosbu/Llama-3.3-70B-Instruct-AWQ,meta-llama/Llama-3.3-70B-Instruct,quantized,hf_model_kosbu__Llama-3.3-70B-Instruct-AWQ,hf_model_meta-llama__Llama-3.3-70B-Instruct,kosbu,meta-llama,202412,202411,1
nvidia/NVIDIA-Nemotron-Nano-9B-v2,nvidia/NVIDIA-Nemotron-Nano-12B-v2,finetune,hf_model_nvidia__NVIDIA-Nemotron-Nano-9B-v2,hf_model_nvidia__NVIDIA-Nemotron-Nano-12B-v2,nvidia,nvidia,202508,202508,0
Qwen/Qwen3-VL-32B-Instruct-FP8,Qwen/Qwen3-VL-32B-Instruct,quantized,hf_model_Qwen__Qwen3-VL-32B-Instruct-FP8,hf_model_Qwen__Qwen3-VL-32B-Instruct,Qwen,Qwen,202510,202510,0
nanonets/Nanonets-OCR2-3B,Qwen/Qwen2.5-VL-3B-Instruct,finetune,hf_model_nanonets__Nanonets-OCR2-3B,hf_model_Qwen__Qwen2.5-VL-3B-Instruct,nanonets,Qwen,202510,202501,9
OpenGVLab/InternVL2-8B,OpenGVLab/InternViT-300M-448px,merge,hf_model_OpenGVLab__InternVL2-8B,hf_model_OpenGVLab__InternViT-300M-448px,OpenGVLab,OpenGVLab,202406,202405,1
OpenGVLab/InternVL2-8B,internlm/internlm2_5-7b-chat,merge,hf_model_OpenGVLab__InternVL2-8B,hf_model_internlm__internlm2_5-7b-chat,OpenGVLab,internlm,202406,202406,0
MaziyarPanahi/Phi-3.5-mini-instruct-GGUF,microsoft/Phi-3.5-mini-instruct,quantized,hf_model_MaziyarPanahi__Phi-3.5-mini-instruct-GGUF,hf_model_microsoft__Phi-3.5-mini-instruct,MaziyarPanahi,microsoft,202408,202408,0
HuggingFaceTB/SmolLM2-360M-Instruct,HuggingFaceTB/SmolLM2-360M,quantized,hf_model_HuggingFaceTB__SmolLM2-360M-Instruct,hf_model_HuggingFaceTB__SmolLM2-360M,HuggingFaceTB,HuggingFaceTB,202410,202410,0
Qwen/Qwen2.5-Coder-1.5B,Qwen/Qwen2.5-1.5B,finetune,hf_model_Qwen__Qwen2.5-Coder-1.5B,hf_model_Qwen__Qwen2.5-1.5B,Qwen,Qwen,202409,202409,0
meta-llama/Llama-3.3-70B-Instruct,meta-llama/Llama-3.1-70B,finetune,hf_model_meta-llama__Llama-3.3-70B-Instruct,hf_model_meta-llama__Llama-3.1-70B,meta-llama,meta-llama,202411,202407,4
stelterlab/Mistral-Small-24B-Instruct-2501-AWQ,mistralai/Mistral-Small-24B-Instruct-2501,quantized,hf_model_stelterlab__Mistral-Small-24B-Instruct-2501-AWQ,hf_model_mistralai__Mistral-Small-24B-Instruct-2501,stelterlab,mistralai,202501,202501,0
redis/langcache-embed-v1,Alibaba-NLP/gte-modernbert-base,quantized,hf_model_redis__langcache-embed-v1,hf_model_Alibaba-NLP__gte-modernbert-base,redis,Alibaba-NLP,202503,202501,2
Qwen/Qwen2.5-1.5B-Instruct-GGUF,Qwen/Qwen2.5-1.5B-Instruct,quantized,hf_model_Qwen__Qwen2.5-1.5B-Instruct-GGUF,hf_model_Qwen__Qwen2.5-1.5B-Instruct,Qwen,Qwen,202409,202409,0
huihui-ai/Qwen2.5-72B-Instruct-abliterated,Qwen/Qwen2.5-72B-Instruct,finetune,hf_model_huihui-ai__Qwen2.5-72B-Instruct-abliterated,hf_model_Qwen__Qwen2.5-72B-Instruct,huihui-ai,Qwen,202410,202409,1
